,pIC50,method
0,5.484536811626732,tanimoto_maccs
1,6.657577319177793,tanimoto_maccs
2,6.6777807052660805,tanimoto_maccs
3,5.431798275933005,tanimoto_maccs
4,6.040958607678906,tanimoto_maccs
5,6.522878745280337,tanimoto_maccs
6,5.346787486224656,tanimoto_maccs
7,5.1249387366083,tanimoto_maccs
8,6.376750709602099,tanimoto_maccs
9,4.11227020271197,tanimoto_maccs
10,4.8198741248359465,tanimoto_maccs
11,4.897909474488164,tanimoto_maccs
12,6.06198090252379,tanimoto_maccs
13,5.917214629683551,tanimoto_maccs
14,6.008773924307505,tanimoto_maccs
15,6.590066876668706,tanimoto_maccs
16,5.935542010773082,tanimoto_maccs
17,5.481486060122113,tanimoto_maccs
18,8.207608310501746,tanimoto_maccs
19,7.522878745280337,tanimoto_maccs
20,8.102372908709558,tanimoto_maccs
21,8.721246399047171,tanimoto_maccs
22,6.060480747381382,tanimoto_maccs
23,6.180456064458132,tanimoto_maccs
24,7.0,tanimoto_maccs
25,6.721246399047171,tanimoto_maccs
26,7.200659450546419,tanimoto_maccs
27,9.10790539730952,tanimoto_maccs
28,9.017728766960431,tanimoto_maccs
29,8.638272163982407,tanimoto_maccs
30,7.251811972993799,tanimoto_maccs
31,7.244125144327507,tanimoto_maccs
32,7.795880017344075,tanimoto_maccs
33,6.3799993576999325,tanimoto_maccs
34,7.721246399047171,tanimoto_maccs
35,4.0500000185820575,tanimoto_maccs
36,5.346787486224656,tanimoto_maccs
37,5.470000200122708,tanimoto_maccs
38,5.82999952673565,tanimoto_maccs
39,5.286509456906058,tanimoto_maccs
40,5.716698771296451,tanimoto_maccs
41,5.954677021213342,tanimoto_maccs
42,5.903089986991944,tanimoto_maccs
43,6.740000204918113,tanimoto_maccs
44,5.863279432843593,tanimoto_maccs
45,5.559999795538785,tanimoto_maccs
46,5.560667306169737,tanimoto_maccs
47,5.610833915635467,tanimoto_maccs
48,5.8399999311187,tanimoto_maccs
49,5.959999285526681,tanimoto_maccs
50,5.886056647693163,tanimoto_maccs
51,4.8996294548824375,tanimoto_maccs
52,5.380000399499542,tanimoto_maccs
53,4.210000001311123,tanimoto_maccs
54,6.721246399047171,tanimoto_maccs
55,5.6020599913279625,tanimoto_maccs
56,4.820448208834812,tanimoto_maccs
57,5.787812395596042,tanimoto_maccs
58,5.995678626217358,tanimoto_maccs
59,5.356547323513812,tanimoto_maccs
60,6.0699989989909255,tanimoto_maccs
61,6.090000275786018,tanimoto_maccs
62,6.209996479609511,tanimoto_maccs
63,5.169999984192582,tanimoto_maccs
64,4.480000028175458,tanimoto_maccs
65,5.200000237109354,tanimoto_maccs
66,5.039999923502187,tanimoto_maccs
67,4.849999859991125,tanimoto_maccs
68,6.721246399047171,tanimoto_maccs
69,7.522878745280337,tanimoto_maccs
70,5.169999984192582,tanimoto_maccs
71,5.749999855918707,tanimoto_maccs
72,6.318758762624412,tanimoto_maccs
73,5.886056647693163,tanimoto_maccs
74,6.173925197299174,tanimoto_maccs
75,4.6700000181810175,tanimoto_maccs
76,6.459996055149974,tanimoto_maccs
77,4.860000083248981,tanimoto_maccs
78,6.799998134593398,tanimoto_maccs
79,6.4399976732266335,tanimoto_maccs
80,6.080001969035981,tanimoto_maccs
81,6.6020599913279625,tanimoto_maccs
82,7.096910013008056,tanimoto_maccs
83,5.292429823902063,tanimoto_maccs
84,6.0,tanimoto_maccs
85,5.282329496997738,tanimoto_maccs
86,5.1249387366083,tanimoto_maccs
87,5.268411234813262,tanimoto_maccs
88,4.867420152340263,tanimoto_maccs
89,4.975104039892515,tanimoto_maccs
90,5.568636235841013,tanimoto_maccs
91,4.820000071285179,tanimoto_maccs
92,5.634512015109101,tanimoto_maccs
93,5.795880017344075,tanimoto_maccs
94,6.886056647693163,tanimoto_maccs
95,6.031517051446065,tanimoto_maccs
96,7.251811972993799,tanimoto_maccs
97,4.986320302708807,tanimoto_maccs
98,6.040958607678906,tanimoto_maccs
99,7.045757490560675,tanimoto_maccs
100,5.540607512240769,tanimoto_maccs
101,5.0,tanimoto_maccs
