,molecule_chembl_id,SMILES,pIC50,ROMol,maccs,morgan,tanimoto_maccs,dice_maccs,tanimoto_morgan,dice_morgan
5875,CHEMBL592216,C#CCCCOc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.596879478824182,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe0a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95a9770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9462880>,0.7704918032786885,0.8703703703703703,0.6764705882352942,0.8070175438596491
5889,CHEMBL592713,C#CCCCOc1cc2c(Nc3cccc(Cl)c3)ncnc2cc1OC,7.752026733638194,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe6c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95a9d90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9464190>,0.7540983606557377,0.8598130841121495,0.5135135135135135,0.6785714285714286
5890,CHEMBL593274,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)ncnc2cc1OCCCN1CCN(C)CC1,7.795880017344075,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe730>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95a9e00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9464350>,0.7887323943661971,0.8818897637795275,0.5853658536585366,0.7384615384615385
5891,CHEMBL593275,COc1cc2c(Nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,6.585026652029182,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe7a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95a9e70>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9464510>,0.7887323943661971,0.8818897637795275,0.5609756097560976,0.71875
5892,CHEMBL593292,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)cc3)c2cc1OCCCN1CCN(C)CC1,6.173925197299174,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe810>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95a9ee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec94646d0>,0.7323943661971831,0.8455284552845529,0.524390243902439,0.688
5895,CHEMBL593306,COc1ccc2nc(-c3ccc(Nc4ncnc5cc(OCCCN6CCN(C)CC6)c(OC)cc45)cc3)sc2c1,6.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9464c10>,0.7361111111111112,0.848,0.5119047619047619,0.6771653543307087
5896,CHEMBL593760,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(F)c3)c2cc1OCCCN1CCN(C)CC1,5.638272163982407,<rdkit.Chem.rdchem.Mol object at 0x748ec97fe9d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa0a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9464dd0>,0.7887323943661971,0.8818897637795275,0.5662650602409639,0.7230769230769231
5898,CHEMBL593860,COc1cc2c(Nc3ccc(-c4nc5ccccc5s4)c(OC)c3)ncnc2cc1OCCCN1CCN(C)CC1,8.698970004336019,<rdkit.Chem.rdchem.Mol object at 0x748ec97feab0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9465150>,0.7361111111111112,0.848,0.5301204819277109,0.6929133858267716
5899,CHEMBL593909,COc1cc2c(Nc3ccc(-c4nc5ccc(Cl)cc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,5.2076083105017466,<rdkit.Chem.rdchem.Mol object at 0x748ec97feb20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa1f0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec9465310>,0.8028169014084507,0.890625,0.5287356321839081,0.6917293233082706
5900,CHEMBL593911,COc1cc2ncnc(Nc3ccc(-c4nc5ccccc5s4)c(OC)c3)c2cc1OCCCN1CCN(C)CC1,7.823908740944319,<rdkit.Chem.rdchem.Mol object at 0x748ec97feb90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec95aa260>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x748ec94654d0>,0.7361111111111112,0.848,0.5301204819277109,0.6929133858267716
