row ID;molecule_chembl_id;Units;IC50;SMILES;First(target_chembl_id (#1));pIC50
Row2653;CHEMBL2347965;nM;218;CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1;CHEMBL203;6.661543506395395
Row2654;CHEMBL2347966;nM;48;CN(C)CC(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1;CHEMBL203;7.318758762624412
Row2655;CHEMBL2347967;nM;820;O=[N+]([O-])c1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@H](CO)c4ccccc4)c23)c1;CHEMBL203;6.086186147616283
Row2656;CHEMBL2347968;nM;589;OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(Cl)c12)c1ccccc1;CHEMBL203;6.229884705212898
Row2657;CHEMBL2347969;nM;452;OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(Br)c12)c1ccccc1;CHEMBL203;6.3448615651886175
Row2658;CHEMBL2347970;nM;434;OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccco3)c12)c1ccccc1;CHEMBL203;6.36251027048749
Row2659;CHEMBL2347971;nM;352;OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccoc3)c12)c1ccccc1;CHEMBL203;6.453457336521869
Row2660;CHEMBL2347972;nM;258;OC[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccc4c(c3)OCO4)c12)c1ccccc1;CHEMBL203;6.58838029403677
Row2661;CHEMBL2347973;nM;7893;COC(=O)[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1;CHEMBL203;5.1027578971946355
Row2663;CHEMBL2348194;nM;2991;C[C@@H](Nc1ncnc2oc(-c3ccccc3)c(-c3ccccc3)c12)c1ccccc1;CHEMBL203;5.524183586968682
Row2664;CHEMBL2348414;nM;38;O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc(C(F)(F)F)c3)c(Cl)c2)NCC1;CHEMBL203;7.42021640338319
Row2665;CHEMBL2348415;nM;75;CS(=O)(=O)CCNC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc(C(F)(F)F)c3)c(Cl)c2)NCC1;CHEMBL203;7.1249387366083
Row2666;CHEMBL2348416;nM;44;COC(=O)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1;CHEMBL203;7.356547323513813
